Fantasquadra,Ruolo,Calciatore,Costo
Paris Saint Gennaro,D,Circati *,6
Atletico Mandrillo,D,Terzic,4
Castellaneta Marina,D,Joao Mario,3
Gallipoli 2023,D,Odenthal,1
Squirting Lisbona,D,Marin R.,2
E-Team,D,Missori,1
Paris Saint Gennaro,D,Correia T.,4
Atletico Mandrillo,D,Cabal,1
Castellaneta Marina,D,Ziolkowski,1
Gallipoli 2023,C,McTominay,28
Squirting Lisbona,C,Vlasic,14
E-Team,C,McTominay,28
Paris Saint Gennaro,C,Calhanoglu,27
Atletico Mandrillo,C,Baturina,19
Castellaneta Marina,C,Calhanoglu,27
Gallipoli 2023,C,Calhanoglu,27
Squirting Lisbona,C,Gudmundsson A.,13
E-Team,C,Alajbegovic,12
Paris Saint Gennaro,C,Atta,17
Atletico Mandrillo,C,Da Cunha,18
Castellaneta Marina,C,Zielinski,10
Gallipoli 2023,C,Baturina,19
Squirting Lisbona,C,Ekkelenkamp,10
E-Team,C,Mastantuono,12
Paris Saint Gennaro,C,Ekkelenkamp,10
Atletico Mandrillo,C,Atta,17
Castellaneta Marina,C,Bernardeschi,9
Gallipoli 2023,C,Mastantuono,12
Squirting Lisbona,C,Liberali,6
E-Team,C,Rowe,11
Paris Saint Gennaro,C,Fazzini,7
Atletico Mandrillo,C,Barella,17
Castellaneta Marina,C,Sucic P.,8
Gallipoli 2023,C,Moreira,12
Squirting Lisbona,C,Adzic,5
E-Team,C,Zielinski,10
Paris Saint Gennaro,C,Gaetano,7
Atletico Mandrillo,C,Conceicao,12
Castellaneta Marina,C,Frattesi,7
Gallipoli 2023,C,Stankovic A.,3
Squirting Lisbona,C,Loftus-Cheek,4
E-Team,C,Busio,5
Paris Saint Gennaro,C,Nicolussi Caviglia,6
Atletico Mandrillo,C,Ederson D.S.,12
Castellaneta Marina,C,Adzic,5
Gallipoli 2023,C,El Azzouzi A.,1
Squirting Lisbona,C,Kaba,1
E-Team,C,Cissè A.,3
Paris Saint Gennaro,C,Meichtry,5
Atletico Mandrillo,C,Frattesi,7
Castellaneta Marina,C,El Azzouzi A.,1
Gallipoli 2023,C,Forson O.,1
Squirting Lisbona,C,Zarraga,1
E-Team,C,Forson O.,1
Paris Saint Gennaro,C,Gandelman,5
Atletico Mandrillo,C,Ilic,1
Castellaneta Marina,C,Zarraga,1
Gallipoli 2023,A,Martinez L.,35
Squirting Lisbona,A,Malen,34
E-Team,A,Martinez L.,35
Paris Saint Gennaro,A,Malen,34
Atletico Mandrillo,A,Malen,34
Castellaneta Marina,A,Martinez L.,35
Gallipoli 2023,A,Hojlund,28
Squirting Lisbona,A,Hojlund,28
E-Team,A,Malen,34
Paris Saint Gennaro,A,Yildiz,23
Atletico Mandrillo,A,Ramos G.,27
Castellaneta Marina,A,Ramos G.,27
Gallipoli 2023,A,Davis K.,19
Squirting Lisbona,A,Ramos G.,27
E-Team,A,Kolo Muani,26
Paris Saint Gennaro,A,Tourè E.,11
Atletico Mandrillo,A,Simeone,15
Castellaneta Marina,A,Kolo Muani,26
Gallipoli 2023,A,Lauberbach,1
Squirting Lisbona,A,Lisman,1
E-Team,A,Lontani,1
Paris Saint Gennaro,A,Bowie,10
Atletico Mandrillo,A,Castro S.,14
Castellaneta Marina,A,Santos A.,14
Gallipoli 2023,A,Lisman,1
Squirting Lisbona,A,Azon,1
E-Team,A,Lauberbach,1
Paris Saint Gennaro,A,Cutrone,9
Atletico Mandrillo,A,Lisman,1
Castellaneta Marina,A,Neres,6
